participant_id,category,feature,value,percentile,z_score,population_comparison,plain_language_explanation,literature_concept,literature_language,source
10,ankle,ankle_angle_right_minimum,-20.15785279,100,3.499363286,above the reference mean by 3.50 SD,"The athlete's ankle_angle_right_minimum value is -20.2, which is above the dataset mean and at percentile 100.0. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,ankle,ankle_angle_right_rom,59.85087523,2.380952381,-2.490366336,below the reference mean by 2.49 SD,"The athlete's ankle_angle_right_rom value is 59.9, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,hip,hip_flexion_left_minimum,26.36753621,95.23809524,1.744113579,above the reference mean by 1.74 SD,"The athlete's hip_flexion_left_minimum value is 26.4, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,hip,hip_flexion_left_std,21.46717596,4.761904762,-1.407495366,below the reference mean by 1.41 SD,"The athlete's hip_flexion_left_std value is 21.5, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,hip,hip_flexion_left_time_to_peak,3.973333333,95.23809524,1.545001608,above the reference mean by 1.55 SD,"The athlete's hip_flexion_left_time_to_peak value is 3.97, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,hip,hip_flexion_left_variance,461.9211449,4.761904762,-1.372812052,below the reference mean by 1.37 SD,"The athlete's hip_flexion_left_variance value is 462, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,hip,hip_flexion_right_minimum,25.81167354,95.23809524,1.693105814,above the reference mean by 1.69 SD,"The athlete's hip_flexion_right_minimum value is 25.8, which is above the dataset mean and at percentile 95.2. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
10,knee,knee_flexion_right_minimum,8.294388438,95.23809524,1.792655642,above the reference mean by 1.79 SD,"The athlete's knee_flexion_right_minimum value is 8.29, which is above the dataset mean and at percentile 95.2. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
11,ankle,ankle_angle_left_median,30.1443286,97.61904762,1.809620509,above the reference mean by 1.81 SD,"The athlete's ankle_angle_left_median value is 30.1, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,ankle,ankle_angle_left_minimum,-28.43733797,95.23809524,2.116702134,above the reference mean by 2.12 SD,"The athlete's ankle_angle_left_minimum value is -28.4, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,hip,hip_flexion_left_mean,61.5247047,97.61904762,1.492971821,above the reference mean by 1.49 SD,"The athlete's hip_flexion_left_mean value is 61.5, which is above the dataset mean and at percentile 97.6. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,hip,hip_flexion_left_median,75.01726841,97.61904762,1.801946442,above the reference mean by 1.80 SD,"The athlete's hip_flexion_left_median value is 75, which is above the dataset mean and at percentile 97.6. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,hip,hip_flexion_left_minimum,29.22428918,97.61904762,1.9693335,above the reference mean by 1.97 SD,"The athlete's hip_flexion_left_minimum value is 29.2, which is above the dataset mean and at percentile 97.6. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,hip,hip_flexion_right_median,72.88982274,97.61904762,1.635440626,above the reference mean by 1.64 SD,"The athlete's hip_flexion_right_median value is 72.9, which is above the dataset mean and at percentile 97.6. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,hip,hip_flexion_right_minimum,26.4321613,97.61904762,1.741613468,above the reference mean by 1.74 SD,"The athlete's hip_flexion_right_minimum value is 26.4, which is above the dataset mean and at percentile 97.6. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
11,knee,knee_flexion_left_minimum,7.885856233,95.23809524,1.806948574,above the reference mean by 1.81 SD,"The athlete's knee_flexion_left_minimum value is 7.89, which is above the dataset mean and at percentile 95.2. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
12,ankle,ankle_angle_left_mean,21.9008224,100,2.358210812,above the reference mean by 2.36 SD,"The athlete's ankle_angle_left_mean value is 21.9, which is above the dataset mean and at percentile 100.0. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
12,ankle,ankle_angle_right_mean,19.70610726,95.23809524,1.924098869,above the reference mean by 1.92 SD,"The athlete's ankle_angle_right_mean value is 19.7, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
12,symmetry,hip_flexion_rom_symmetry_index,5.532956228,100,1.916658976,above the reference mean by 1.92 SD,"The athlete's hip_flexion_rom_symmetry_index value is 5.53, which is above the dataset mean and at percentile 100.0. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
12,symmetry,knee_flexion_rom_symmetry_index,4.010750373,100,1.934669811,above the reference mean by 1.93 SD,"The athlete's knee_flexion_rom_symmetry_index value is 4.01, which is above the dataset mean and at percentile 100.0. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
13,symmetry,hip_flexion_rom_percent_difference,6.640318843,95.23809524,1.801491676,above the reference mean by 1.80 SD,"The athlete's hip_flexion_rom_percent_difference value is 6.64, which is above the dataset mean and at percentile 95.2. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
14,symmetry,ankle_angle_rom_absolute_difference,0.4393122383,4.761904762,-1.276204569,below the reference mean by 1.28 SD,"The athlete's ankle_angle_rom_absolute_difference value is 0.439, which is below the dataset mean and at percentile 4.8. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
14,symmetry,ankle_angle_rom_percent_difference,0.5828221452,4.761904762,-1.211259761,below the reference mean by 1.21 SD,"The athlete's ankle_angle_rom_percent_difference value is 0.583, which is below the dataset mean and at percentile 4.8. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,ankle,ankle_angle_left_mean,3.771665484,4.761904762,-1.514796135,below the reference mean by 1.51 SD,"The athlete's ankle_angle_left_mean value is 3.77, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,ankle,ankle_angle_right_maximum,26.53524619,2.380952381,-3.076475142,below the reference mean by 3.08 SD,"The athlete's ankle_angle_right_maximum value is 26.5, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,ankle,ankle_angle_right_mean,5.242791769,4.761904762,-1.389468367,below the reference mean by 1.39 SD,"The athlete's ankle_angle_right_mean value is 5.24, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,ankle,ankle_angle_right_std,15.47261144,4.761904762,-1.632795748,below the reference mean by 1.63 SD,"The athlete's ankle_angle_right_std value is 15.5, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,ankle,ankle_angle_right_variance,241.7272082,4.761904762,-1.409221728,below the reference mean by 1.41 SD,"The athlete's ankle_angle_right_variance value is 242, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,knee,knee_flexion_left_maximum,84.41391177,4.761904762,-1.862650047,below the reference mean by 1.86 SD,"The athlete's knee_flexion_left_maximum value is 84.4, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,knee,knee_flexion_left_mean,31.65670028,2.380952381,-2.068202329,below the reference mean by 2.07 SD,"The athlete's knee_flexion_left_mean value is 31.7, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,knee,knee_flexion_left_std,23.82581486,4.761904762,-1.999908164,below the reference mean by 2.00 SD,"The athlete's knee_flexion_left_std value is 23.8, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,knee,knee_flexion_left_variance,571.3739377,4.761904762,-1.859499081,below the reference mean by 1.86 SD,"The athlete's knee_flexion_left_variance value is 571, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,knee,knee_flexion_right_mean,33.51726048,4.761904762,-1.821392629,below the reference mean by 1.82 SD,"The athlete's knee_flexion_right_mean value is 33.5, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,knee,knee_flexion_right_std,24.33152008,4.761904762,-1.855838831,below the reference mean by 1.86 SD,"The athlete's knee_flexion_right_std value is 24.3, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,knee,knee_flexion_right_variance,596.4312581,4.761904762,-1.726801882,below the reference mean by 1.73 SD,"The athlete's knee_flexion_right_variance value is 596, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,symmetry,ankle_angle_rom_absolute_difference,5.130075247,95.23809524,1.51090122,above the reference mean by 1.51 SD,"The athlete's ankle_angle_rom_absolute_difference value is 5.13, which is above the dataset mean and at percentile 95.2. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,symmetry,ankle_angle_rom_percent_difference,7.572477378,95.23809524,1.518885017,above the reference mean by 1.52 SD,"The athlete's ankle_angle_rom_percent_difference value is 7.57, which is above the dataset mean and at percentile 95.2. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,symmetry,ankle_angle_rom_symmetry_index,7.572477378,95.23809524,1.778462186,above the reference mean by 1.78 SD,"The athlete's ankle_angle_rom_symmetry_index value is 7.57, which is above the dataset mean and at percentile 95.2. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,symmetry,hip_flexion_rom_absolute_difference,6.058587262,100,2.588178839,above the reference mean by 2.59 SD,"The athlete's hip_flexion_rom_absolute_difference value is 6.06, which is above the dataset mean and at percentile 100.0. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,symmetry,hip_flexion_rom_percent_difference,8.559651025,97.61904762,2.798648152,above the reference mean by 2.80 SD,"The athlete's hip_flexion_rom_percent_difference value is 8.56, which is above the dataset mean and at percentile 97.6. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,symmetry,hip_flexion_rom_symmetry_index,-8.559651025,4.761904762,-2.312433453,below the reference mean by 2.31 SD,"The athlete's hip_flexion_rom_symmetry_index value is -8.56, which is below the dataset mean and at percentile 4.8. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
15,symmetry,knee_flexion_rom_absolute_difference,4.776595323,100,2.786677475,above the reference mean by 2.79 SD,"The athlete's knee_flexion_rom_absolute_difference value is 4.78, which is above the dataset mean and at percentile 100.0. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,symmetry,knee_flexion_rom_percent_difference,5.735756283,100,3.105730874,above the reference mean by 3.11 SD,"The athlete's knee_flexion_rom_percent_difference value is 5.74, which is above the dataset mean and at percentile 100.0. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
15,symmetry,knee_flexion_rom_symmetry_index,-5.735756283,2.380952381,-2.560488216,below the reference mean by 2.56 SD,"The athlete's knee_flexion_rom_symmetry_index value is -5.74, which is below the dataset mean and at percentile 2.4. This is a descriptive symmetry observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
16,ankle,ankle_angle_right_maximum,39.46223015,95.23809524,1.325188717,above the reference mean by 1.33 SD,"The athlete's ankle_angle_right_maximum value is 39.5, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
16,ankle,ankle_angle_right_minimum,-26.00852694,95.23809524,2.246050175,above the reference mean by 2.25 SD,"The athlete's ankle_angle_right_minimum value is -26, which is above the dataset mean and at percentile 95.2. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,hip,hip_flexion_left_maximum,71.28041476,4.761904762,-1.845204764,below the reference mean by 1.85 SD,"The athlete's hip_flexion_left_maximum value is 71.3, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,hip,hip_flexion_left_rom,59.51348688,4.761904762,-1.545532362,below the reference mean by 1.55 SD,"The athlete's hip_flexion_left_rom value is 59.5, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,hip,hip_flexion_right_maximum,71.27720947,4.761904762,-1.914046474,below the reference mean by 1.91 SD,"The athlete's hip_flexion_right_maximum value is 71.3, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,hip,hip_flexion_right_rom,57.67713632,4.761904762,-1.678689436,below the reference mean by 1.68 SD,"The athlete's hip_flexion_right_rom value is 57.7, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,hip,hip_flexion_right_std,21.3278533,4.761904762,-1.483730219,below the reference mean by 1.48 SD,"The athlete's hip_flexion_right_std value is 21.3, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,hip,hip_flexion_right_variance,456.0833593,4.761904762,-1.40204789,below the reference mean by 1.40 SD,"The athlete's hip_flexion_right_variance value is 456, which is below the dataset mean and at percentile 4.8. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
17,knee,knee_flexion_left_minimum,7.95530236,97.61904762,1.830671291,above the reference mean by 1.83 SD,"The athlete's knee_flexion_left_minimum value is 7.96, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
17,knee,knee_flexion_left_rom,78.85486161,4.761904762,-1.914598173,below the reference mean by 1.91 SD,"The athlete's knee_flexion_left_rom value is 78.9, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
17,knee,knee_flexion_right_maximum,86.9717685,4.761904762,-1.657476325,below the reference mean by 1.66 SD,"The athlete's knee_flexion_right_maximum value is 87, which is below the dataset mean and at percentile 4.8. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
17,knee,knee_flexion_right_minimum,9.574863468,97.61904762,2.190495067,above the reference mean by 2.19 SD,"The athlete's knee_flexion_right_minimum value is 9.57, which is above the dataset mean and at percentile 97.6. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
17,knee,knee_flexion_right_rom,77.39690503,2.380952381,-2.127886771,below the reference mean by 2.13 SD,"The athlete's knee_flexion_right_rom value is 77.4, which is below the dataset mean and at percentile 2.4. This is a descriptive knee observation, not a diagnosis or injury prediction.",Knee sagittal-plane mechanics,Knee flexion during landing is commonly evaluated in ACL biomechanics and jump-landing movement-quality literature.,"Hewett et al. 2005, Am J Sports Med; https://doi.org/10.1177/0363546504269591"
19,ankle,ankle_angle_left_median,-1.910391776,2.380952381,-1.828304087,below the reference mean by 1.83 SD,"The athlete's ankle_angle_left_median value is -1.91, which is below the dataset mean and at percentile 2.4. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
19,ankle,ankle_angle_right_median,-0.04880291667,4.761904762,-1.660144516,below the reference mean by 1.66 SD,"The athlete's ankle_angle_right_median value is -0.0488, which is below the dataset mean and at percentile 4.8. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
19,hip,hip_flexion_left_time_to_peak,4.498666667,100,2.307503445,above the reference mean by 2.31 SD,"The athlete's hip_flexion_left_time_to_peak value is 4.5, which is above the dataset mean and at percentile 100.0. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
19,hip,hip_flexion_right_time_to_peak,4.456666667,100,2.41718595,above the reference mean by 2.42 SD,"The athlete's hip_flexion_right_time_to_peak value is 4.46, which is above the dataset mean and at percentile 100.0. This is a descriptive hip observation, not a diagnosis or injury prediction.",Hip sagittal-plane mechanics,Hip flexion and trunk-lower-extremity strategy are discussed in landing biomechanics literature as part of movement-pattern assessment.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
20,ankle,ankle_angle_left_maximum,39.67057184,97.61904762,1.430176486,above the reference mean by 1.43 SD,"The athlete's ankle_angle_left_maximum value is 39.7, which is above the dataset mean and at percentile 97.6. This is a descriptive ankle observation, not a diagnosis or injury prediction.",Ankle sagittal-plane mechanics,Ankle motion is commonly evaluated with hip and knee motion when describing lower-extremity landing mechanics.,"Padua et al. 2009, Am J Sports Med; https://doi.org/10.1177/0363546509343200"
